title,address,description,price,date,seller,image
2 bedroom flat,"North End Road, London","Recently developed, high specification, two bedroom flat (1 double, 1 single) with neutral modern décor, fixtures and fittings and wood-laminate floors throughout located in the heart of Fulham Broadway.","£1,700 pcm",19/05/2022,"Emmas Estate Agents, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94294/96585163/94294_30302037_IMG_00_0000_max_476x317.jpeg
2 bedroom flat,"Rosenau Road, Battersea, London, SW11","ZERO DEPOSIT AVAILABLE. LONG LET. Superbly located just moments from Battersea Park, this fantastic 2 bedroom flat is bright and modern and benefits from a spacious communal garden.","£1,950 pcm",yesterday,"Foxtons, Battersea",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/16k/15966/123626267/15966_1202766_IMG_00_0000_max_476x317.jpeg
2 bedroom flat,"Westbourne Terrace, Hyde Park","A well presented two bedroom top floor apartment close to Hyde Park and local transport. The property has neutral decor throughout, a fully tiled bathroom with shower over bath and an open-plan kitchen.","£1,998 pcm",yesterday,"Dexters, Hyde Park & Bayswater",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55362/96602770/55362_31517654_IMG_00_0000_max_476x317.jpeg
2 bedroom apartment,"Hatherley Grove, Bayswater, W2","This first floor apartment boasts tall ceilings, large windows, good natural light and wood strip style floors. Located just off the fashionable Westbourne Grove.","£2,000 pcm",yesterday,"Chancellors, Notting Hill Lettings",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/42k/41340/123325772/41340_06722504_IMG_00_0000_max_476x317.jpeg
2 bedroom flat,"Perham Road, Barons Court","A very impressive two bedroom split level Victorian conversion flat in Barons Court. The property has a great entertaining space with high ceilings, an eat in kitchen and balcony off the second bedroom.","£1,820 pcm",yesterday,"Dexters, West Kensington",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/85k/84827/96594154/84827_31517025_IMG_00_0000_max_476x317.jpeg
2 bedroom apartment,"Tournay House, Tournay Road, SW6","Regent are proud to present this magnificent two-bedroom apartment situated in Tournay House, SW6. The property offers a spacious living room alongside the expansive open-plan kitchen with high quality fittings and appliances; a hallway leads on towards two double bedrooms ...","£1,900 pcm",22/05/2022,"Regent Letting and Property Management, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/88k/87187/123502994/87187_9136_IMG_00_0000_max_476x317.jpeg
2 bedroom apartment,"Tournay House, Fulham, SW6","Regent are glad to offer this charming two-bedroom apartment in Tournay House. The property comprises an excellent internal storage comprises of an attractive living room area providing access to one of two private balconies, beautifully appointed open plan kitchen, spaciou...","£1,900 pcm",22/05/2022,"Regent Letting and Property Management, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/88k/87187/123369143/87187_9691_IMG_00_0000_max_476x317.jpeg
2 bedroom flat,"Fairholme Road, West Kensington","This two bedroom top floor flat is ideally located in West Kensington within easy reach of all transport links. The property has a spacious reception room with high ceilings and period features, a separate fitted kitchen with good storage space and a modern bathroom.","£1,993 pcm",20/05/2022,"Chard, Fulham",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/142k/141944/122922980/141944_31459355_IMG_00_0000_max_476x317.jpeg
2 bedroom flat,"Fairholme Road, Barons Court, London, W14","ZERO DEPOSIT AVAILABLE. LONG LET. This charming 2 bedroom lower ground floor flat features a spacious reception room with underfloor heating and ample space for dining, a private Patio and a convenient location near Kensington High Street.","£1,950 pcm",19/05/2022,"Foxtons, Fulham Broadway",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/16k/15948/85329786/15948_1203277_IMG_00_0000_max_476x317.jpeg
2 bedroom flat,"North End Road, London","Recently developed, high specification, two bedroom flat (1 double, 1 single) with neutral modern décor, fixtures and fittings and wood-laminate floors throughout located in the heart of Fulham Broadway.","£1,700 pcm",19/05/2022,"Emmas Estate Agents, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94294/96585163/94294_30302037_IMG_00_0000_max_476x317.jpeg
